"variable","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"z_65",0.038391629855505,0.0305326769508699,0.0667366739545484,0.0318401910003771,0.0078703760361493,-0.0370209958756879,0.0488185636110177,-0.00467394341247167,-0.0207805206562117,-0.0212519909011417
"z_66",0.0755537705029867,0.0222858290298257,0.00776622722347325,0.0127038680613814,-0.0099165172522097,-0.00377499824001711,-0.0233168965189743,-0.0111461052899255,-0.0609347338949757,-0.0560595044361603
"z_67",0.00612254348635661,0.0339927195622104,0.0129021278203887,0.0118753283610268,0.00709691840809845,-0.0130185239400821,-0.0351290754345046,-0.0342233842023018,0.112023070551315,-0.0213503762656779
"z_68",-0.0318171313575929,0.0227463384057693,0.037144816646627,0.040211177879664,-0.0250980069116027,-0.0241270138468472,-0.104209403841767,-0.00110318217438326,0.0419537749860587,-0.000177479297359116
"z_69",0.000733267595382153,0.0043364802203536,0.0393338403648107,-0.0409464710363544,-0.0353781701056547,0.0489845119501277,-0.0255358376723922,-0.0976230814293564,0.0320728687324247,-0.0409596756480403
"z_70",0.021887165943463,-0.0700817496707501,-0.0578074217425587,0.0274870879992788,0.0560279816400142,0.0369367686780302,-0.0534951716989345,0.0315246090534521,0.0321080185821036,-0.0119541142504954
"z_71",-0.0176417940382619,-0.0156136939819742,-0.0390849250170579,-0.07115297850842,-0.074344304301622,-0.00118289315622911,-0.000909158762023146,0.0234779047822621,0.00917423080314113,0.108404253769387
"z_72",0.0722119664726603,0.0576214312785562,0.0161693839812711,0.010710510582951,-0.0401291735686828,-0.0272473322942393,0.0497330485742262,-0.0288333720537032,-0.000410797132188848,-0.0505432577273406
"z_73",-0.0213029546099946,0.0415411853238109,-0.000485913417506989,0.00865261387688403,0.00133633118909247,0.000996850513667509,0.0567222450783163,-0.0741822178109857,-0.105717597151918,0.0970570668449481
"z_74",0.0693439353624395,0.0472711635711167,-0.0102753120035761,-0.0768133443886762,0.012886624581354,-0.0411516294791819,0.0322515252890645,-0.0215337130943907,-0.00898859851698854,0.0614294050330185
"z_75",-0.0801242072346751,-0.00309861587300753,-0.0652978823956678,0.010244697550341,-0.0380068162657131,0.0132602739808934,-0.0143351827900788,0.0663800914350875,-0.00488315485861208,0.0250532002082861
"z_76",0.0852617999807929,-0.0186938872461696,0.0940814036041417,-0.0471087237799664,-0.0117849019819186,0.0506935814872028,0.00220458638327646,-0.00596027416975737,-0.00644346108982937,-0.0158219878420071
"z_77",-0.0621157815811859,-0.0238410009431281,0.0114763383790751,0.0163425991479659,0.00312812011714167,-0.033892142002545,0.0283992213332488,0.0453422986318825,0.0569086637712092,0.0041539472801671
"z_78",0.0202952580434349,-0.0501485521036187,0.039000742703265,-0.0850828547213233,-0.0431753258162337,0.0319710967154895,-0.0117084879061624,-0.0507794697105781,0.0836996031269787,0.0662952920148092
"z_79",0.00532964072412839,0.0148927312206875,0.110309577747467,0.0287426110359002,0.0410671196204031,0.0908729016127086,-0.0503313999918174,0.0327717322779666,0.00136006981332194,0.00599685893265479
"z_80",-0.0348647360097495,0.0130085299001684,0.0201212625621978,-0.0345012790845025,0.0808001503215183,0.00337174565903,-0.0113746118451489,-0.0505036933941442,-0.0827398678284996,-0.0151814458230533
"z_81",0.0571217934969498,-0.0157196443642443,0.0165215279930525,-0.018520224387722,-0.0165166269961329,0.082433957544745,0.0574953306748832,0.0422130583725533,-0.0197722537220788,-0.031726428832038
"z_82",-0.0151498739882293,0.0425411260917196,-0.0674656750877133,0.0406898642538655,0.0363371719686081,-0.00494109801240662,-0.0400839411719757,-0.027536157159391,-0.0605610418227281,-0.0331506331212035
"z_83",-0.036132701929076,-0.0779808510367363,-0.012685314111969,-0.0171044995600649,-0.0192056886253936,-0.0795963756297387,0.0249898363281955,0.0381145892108193,-0.0462758381775897,-0.014103508827531
"z_84",-0.0323990484659685,0.0622703068181954,0.0216824102766441,0.00858935249463633,-0.0378054949511484,-0.0357033035676491,-0.0572514561884908,-0.0867637803508124,0.0278554875639336,0.0436257529377558
"z_85",0.013563469898963,-0.0579396052521773,-0.0187998382213134,0.112887879733072,0.038847113193272,-0.0160213145235711,0.0118672833848932,-0.0386798546734925,0.00673243129126385,-0.0163933322222376
"z_86",-0.0601146723937334,0.00719073268010927,0.00436123631012179,0.0767882391319988,0.0242128328970307,-0.0492363831844395,-0.0218218608693177,-0.0219101547201208,-0.0202658758821852,-0.0198149596189637
"z_87",-0.0125535689724682,0.0492747325625908,0.0416902056738501,-0.000422731747064668,0.071490767334737,-0.016168494726993,-0.0409440342353716,0.0890917122630332,-0.060075790877846,0.0533893558538953
"z_88",0.0197907801489077,0.0239681973130139,-0.00703531814848151,0.030555534831207,0.00493869687301617,0.096529088364403,-0.0743641922167579,-0.0845349919398149,-0.0156495941653058,-0.00967178688882016
"z_89",-0.035188843545028,0.0496867248657496,-0.00806081470370942,0.0558981230647139,0.02198602765829,0.110316606046185,0.0135888121199583,-0.00829557135626416,0.0234977427907493,0.0163994065830769
"z_90",-0.00815290986928597,-0.0748640474073692,-0.00643352444649157,0.0734744581561517,0.0287683290632956,0.0270830034456268,-0.0303761805540562,-0.0300298613232902,-0.0155675340867357,-0.0252536637758465
"z_91",-0.036624365231162,-0.011582511889148,0.0566472724740395,0.00382503349218028,0.0363600295629064,0.000382933504234879,0.0349333364327577,0.0244861764764477,0.0553334355282167,0.0186645574766542
"z_92",-0.00267900314626343,-0.0239813009009036,-0.0135290419867693,-0.0202395672238885,-0.0896947560176952,0.00960576108715635,0.0921031547550843,0.0914482570243255,0.0081713555972551,0.00739364551185709
"z_93",-0.00937342044468358,-0.0416969161616349,-0.0287756624370224,-0.0153599170439466,0.0664580833204617,-0.0328017891297749,-0.000178120306399358,-0.00352308305972918,-0.00886864137553959,0.0457468152935746
"z_94",0.0348873138729404,0.00195290488019,0.0180866303568079,-0.0301305111249062,-0.039276344773755,0.0308809470926064,-0.10232643755312,0.0876122202338639,-0.0586726159948647,-0.0339309269689471
"z_95",0.0208372914222319,0.045190256261463,0.062909800393805,0.0548792468663493,0.0285237816141378,-0.0586458310277797,0.0195070544173775,0.0369369537238725,0.0170032148243519,-0.0123176092097083
"z_96",-0.0584887822806933,-0.0204233268081045,0.029241377037522,0.0366789204601618,-0.00358570327537371,-0.100428438830894,-0.0379452936543342,0.0259855163451124,-0.00798236075842602,0.0340441742818905
"z_97",-0.0451397426116475,0.0355023162056649,0.00367818708848552,0.0413100216162513,-0.0527725944882481,-0.0299384933906036,0.0687247568113504,0.103777590792008,0.0108939910768399,0.0755492433631035
"z_98",-0.0593609150699737,-0.00596887403119847,0.0593893537855476,0.00167046806492528,0.00990521951919363,-0.0425909443335101,-0.0242295181860759,-0.09587555239205,0.00604713838757657,-0.0201585582490477
"z_99",-0.0157528947054744,-0.026282389173721,0.0362178989564185,-0.0432624198367095,-0.0940341200888583,0.057455195220393,-0.0430161686339014,0.0113681870279848,-0.015041865439733,0.0301421685159184
"z_100",0.0533053528949607,0.048707067838944,0.0336254546116368,0.0718296686442976,-0.0136191914482197,-0.0688321043449308,-0.025816569476378,0.00660872744871239,0.045794269322554,0.0304806291780281
"z_101",-0.0635261960726647,-0.0482978572696272,0.088710160153568,-0.0682375771291673,-0.0202669334120395,0.0170136608019666,0.0483934082747546,0.0365739005684173,-0.0395528109246201,-0.0071327590071916
"z_102",0.00202924154392016,0.0400529813808549,-0.0261000192659901,-0.0206471618934718,-0.0568466658923376,0.0579853822242265,0.0195100606975253,-0.093505787071606,0.0300576148516396,0.0705224302142304
"z_103",0.0442893199757671,0.00842854711799788,-0.00162308436169968,-0.0472672671271949,0.00814196280608872,0.0175530061016081,-0.0068197355222475,-0.0206400981644846,0.00998092539948019,0.0291720622216217
"z_104",-0.0197137623024803,0.00706289969775157,0.0311739279534339,0.0620602734252769,0.0414033854851569,-0.0270529034558194,0.0689171151691762,0.0452120377684504,-0.0849441503008271,-3.98691059624921e-05
"z_105",-0.0363965473897549,-0.0575992779114804,-0.0425851771517652,-0.036866276602701,-0.0289855649478955,0.0595036756066594,-0.0524058650121149,0.0261596076486815,0.014473983992377,-0.0911458128191713
"z_106",0.0235923595684952,0.0257942786923455,0.0284845522729686,-0.0162093905535805,-0.044819858415445,-0.0173766964024166,0.0360713983827511,-0.0129044863716234,-0.0995309796850355,-0.0433793351913263
"z_107",-0.0898387349552792,0.00401811695232807,0.0136833211036358,-0.0299765684855941,0.025512709255437,-0.0103555857505061,-0.0239456367893719,-0.000161946760538627,-0.00936780701703069,-0.0364422977562107
"z_108",-0.0411734834218562,-0.0734861056304081,0.0142528336352332,0.0683506537892484,-0.00303998826012109,-0.00215786023316798,-0.0367479720690666,0.0155012024746513,-0.0594126571125191,-0.0326001761723435
"z_109",0.00453501752892614,0.0220997091155002,-0.0197755881143877,0.0131904229272363,0.116325127254686,0.0318687750134458,-0.0828310403109373,0.0161009961344934,0.00312400396179193,0.0331576323267395
"z_110",-0.0513556665284483,-0.016567986981863,-0.0119294479091248,-0.00994019008390944,0.0603558944507939,-0.0240127639553775,-0.0942742532310924,-0.0302629078357621,0.0150134306753869,-0.0336732415420039
"z_111",0.0672940388940995,-0.0913454320078471,0.0306928855203365,-0.0301572988197293,-0.0206435984291194,0.0458607241720883,-0.00513763281359273,-0.0441462469769954,0.00737077709928451,0.0070023626429799
"z_112",0.0254077271819439,0.0573215331489661,-0.0181063456660105,-0.000707808762491349,0.0610458731067803,-0.029917285365098,0.0253275712173261,-0.108642372201354,0.0352100246916439,-0.0176955599575979
"z_113",-0.0432044719532109,0.0433324097906124,-0.0230071680964212,0.00649122743912436,0.0268357681037555,0.062091138819371,-0.0823108408644515,-0.00564602531225969,0.045457077070551,0.0570621022720963
"z_114",-0.0404577257542563,-0.0844402707723561,-0.0752480915640291,-0.0199326225192667,-0.0300407070680539,-0.021315951484328,0.0119771728856008,-0.0143134885389037,-0.0192619275086005,-0.0210380946974727
"z_115",0.020110981947545,-0.010628522005709,0.0212586522704729,-0.0336964690544638,-0.0745590326642799,0.0683698680263906,0.0917254554474364,0.0195418676626038,-0.0237829106005961,-0.034601213608494
"z_116",0.0746517919981351,-0.0110823375410953,0.0635167260288295,0.00958292828385598,-0.0279980650180242,-0.0994045792665264,-0.0214425200345962,0.0134805507108397,-0.00943480137350608,0.0509811088375275
"z_117",-0.0352185701451032,0.0235227872080531,-0.0414443536074885,0.0388612538042153,0.0421255327651733,-0.066525026171216,0.0846918498664558,-0.0635969275923806,0.0377407537431851,0.0130253944159347
"z_118",-0.0253327547927958,0.012906001208257,-0.0173768445334239,-0.0193401332789459,0.127224935307318,0.0547548625084,-0.000130796471813085,-0.0187285216790007,0.00171201493085,0.034282628843304
"z_119",0.0418119472335792,-0.0726706122865974,0.0404105642738266,-0.0112047740338527,-0.0226548589535102,-0.0322629035634799,-0.0507359000801031,0.0415493504787561,0.0559321157735248,0.0188409141923217
"z_120",-0.0729416317061462,-0.0102340774097722,-0.0483529229701462,-0.0452582458501899,-0.0473418343619526,-0.00238076308654169,-0.0267574829115541,-0.111257898942266,-0.030994569663772,0.00386837134056183
"z_121",0.0592225679777126,0.00203395472913621,0.00875894900393272,0.0678255914438481,0.00977056084818619,0.0832867917269842,-0.031916126623289,-0.0346701303928312,0.0222663667804324,0.00962912952368839
"z_122",0.0218816511597898,0.0778842477101174,0.0779857086460924,0.0190463855784316,0.0216238829068092,-0.0148900311282202,0.0585858734547189,-0.0578035067133158,-0.0028194148067544,0.0429311595286786
"z_123",0.0238100544081333,0.00428496785663821,0.106278685106401,-0.0534926283718511,-0.0265493489743282,-0.0862818881871613,-0.0244409480758777,-0.0410203396563246,0.00687064647045083,-0.0183974457620552
"z_124",-0.0774440055233922,0.0831204029270977,-0.0255095773021072,-0.00850141521308103,0.00210402563077495,-0.0412246278490218,-0.0332507548755005,-0.0101774413693111,0.0211681410917706,-0.0923154906004206
"z_125",-0.0370242559703657,-0.0829834047059116,-0.0137019839349583,0.0641753121624983,-0.0292895117404175,0.0279083086305937,0.0144940974420401,0.0769944218950083,0.0656594322375164,-0.0264229446741707
"z_126",0.0542832771227443,0.0810202986423595,-0.0044513382211223,0.0529290213590788,0.0322631753845731,0.0321917051265911,0.00518738184632823,-0.0154366068624927,0.0323828243764231,-0.0405565541182339
"z_127",-0.0606249224426554,0.0724074162511628,-0.0412274806378246,0.071783376318108,0.0347801420725257,-0.0266667647777725,0.00395439194450271,0.00946256821408242,-0.0266132991756161,-0.0308711279771848
"z_128",0.036383063127186,-0.0419969172612835,-0.0654959559165637,-0.069061094910339,-0.0334005323446972,-0.0075135572252752,0.00763774082984873,-0.0411203246875568,0.0863340649688965,0.0208074419251583
"z_129",0.0275302864203224,-0.0405185627800178,0.00186671449072753,-0.033193979940904,0.00825288191658273,-0.0411810796713134,-0.0293627404058073,-0.051586676820385,0.0359960209437431,-0.067824542241723
