"variable","center","scale"
"z_327",-0.0190059273888401,1.03261351345784
"z_328",-0.048428637472433,1.06430425826252
"z_329",-0.0557444285410534,1.08300049394692
"z_330",0.0314260368311431,0.967668397566244
"z_331",-0.0188516808513089,0.977373120090935
"z_332",0.115369317847892,1.00514389913444
"z_333",0.0112456235671638,1.41084595741776
"z_334",0.00775854949806093,0.9392031349265
"z_335",-0.0438619600092059,1.19302045819776
"z_336",0.121195462077053,1.18870239711253
"z_337",-0.0179725527471385,1.07122274606438
"z_338",0.0160206720884442,1.14864775556732
"z_339",-0.0507405039172911,1.17401435851257
"z_340",-0.0893094491138177,1.14927596366998
"z_341",0.0971736460802097,0.902649252219584
"z_342",0.0362120385308741,1.29088402630253
"z_343",-0.0360918944421002,1.099935748971
"z_344",0.0299925157312313,1.04873444026666
"z_345",0.0282158995674078,0.938998906891938
"z_346",0.0366290118865048,1.00767960750164
"z_347",-0.0858302096303984,1.08382254665784
"z_348",-0.0452570236420183,1.23817431900116
"z_349",-0.0361179128208729,1.43480112467794
"z_350",-0.0394197287294394,1.25836899551432
"z_351",-0.0331830952499163,1.23440802817087
"z_352",-0.0127175988960747,1.12270031704346
"z_353",-0.0218213313799203,1.31997225219287
"z_354",0.0319702575668047,1.20149747823088
"z_355",-0.0275567731585325,1.18357950016571
"z_356",-0.0464725143264152,1.25985621720095
"z_357",-0.0517015014629594,1.37612935750973
"z_358",-0.0220988594255006,0.955080523128965
"z_359",-0.0122526869855792,1.25631177118461
"z_360",-0.0550058640017414,1.0515938579143
"z_361",-0.0320768131773599,1.29002399005052
"z_362",0.0400937411540681,1.17672207354624
"z_363",0.0137143677674887,1.16458991346908
"z_364",0.0476276665640722,1.02238066830779
"z_365",-0.0990490754495694,1.07338329482177
"z_366",0.0296723539270403,1.18171571209906
"z_367",0.0928340666809288,1.1955623914157
"z_368",0.00235591548972407,1.07655561099555
"z_369",-0.0513269285300182,1.00077841021299
"z_370",0.033397818277651,1.06329405390802
"z_371",0.0783449752057428,1.04367726534365
"z_372",0.0303790813914273,1.14013223002665
"z_373",-0.032713287766084,0.96115459885623
"z_374",-0.0225526463993405,1.19449664157795
"z_375",0.0122964152838112,1.04912090682373
"z_376",0.0719866113894668,1.29386571662054
"z_377",0.0995228144816755,1.20541568508226
"z_378",-0.0140714048183169,1.22553856252649
"z_379",0.0332376816810937,1.00162318465318
"z_380",-0.0276474637676103,1.08754016430953
"z_381",-0.0557906656329368,1.2504239440713
"z_382",0.00593024426867122,0.948346583886923
"z_383",0.0128274266095309,1.19230082723279
"z_384",0.00398223171358578,1.01781580585004
"z_385",-0.0272639627272912,1.12723525470689
"z_386",0.0377122857144745,1.1528234996921
"z_387",-0.0254422684914159,1.38173613530675
"z_388",-0.0174271043284056,1.04230982778589
"z_389",-0.0230037179626956,1.22237699952069
"z_390",-0.0801312472504198,1.35819190082904
"z_391",-0.0634396265128838,0.985344574644302
"z_392",0.010841714566576,1.09069546211815
"z_393",0.0371790155323899,1.00290990827745
"z_394",-0.0379994597205526,1.17944531022682
"z_395",-0.0150847853594257,1.09497276511989
"z_396",0.00691788977763781,1.03446759202044
"z_397",0.0291297527509843,1.16715694066709
"z_398",-0.00778739685527925,1.03112502400835
"z_399",-0.064728550778755,1.15829744469522
"z_400",-0.00585899578652249,0.840342602397014
"z_401",0.0481267253576317,1.14837092115834
"z_402",-0.0558894811814559,0.996425790937304
"z_403",0.0111158439938169,1.11959857585596
"z_404",0.0191937022935905,1.19572541229961
"z_405",0.0279058297880361,1.15444036336854
"z_406",-0.0390271709217764,1.18133825949976
"z_407",0.00207740255944234,1.21876885951131
"z_408",0.0387487846960834,1.17588121240562
"z_409",-0.032509704564045,1.03935440811633
"z_410",-0.081410768992163,1.29707460001915
"z_411",-0.0623537947964262,1.23995678543875
"z_412",-0.0339268455349436,1.13663937739595
"z_413",0.0927679789308024,1.20960854560058
"z_414",0.0392087655644075,1.14162463768636
"z_415",-0.0364945668433228,1.31458264515889
"z_416",-0.060448136866884,1.23822709091821
"z_417",0.101906133769852,1.07954553961606
